PID,PID_Movie,MovieName,Director
1,1,Joker (2019) ,Todd Phillips
2,2,Jojo Rabbit (2019) ,Taika Waititi
3,3,The King (2019) ,David Michôd
4,4,Parasite (2019) ,Bong Joon Ho
5,5,Marriage Story (2019) ,Noah Baumbach
6,6,1917 (2019) ,Sam Mendes
7,7,Midsommar (2019) ,Ari Aster
8,8,Ready or Not (2019) ,Matt Bettinelli-Olpin
9,8,Ready or Not (2019) ,Tyler Gillett
10,9,Little Joe (2019) ,Jessica Hausner
11,10,Dolemite Is My Name (2019) ,Craig Brewer
12,11,The Art of Racing in the Rain (2019) ,Simon Curtis
13,12,Zombieland: Double Tap (2019) ,Ruben Fleischer
14,13,The Perfection (2018) ,Richard Shepard
15,14,The Laundromat (2019) ,Steven Soderbergh
16,15,John Wick: Chapter 3 - Parabellum (2019) ,Chad Stahelski
17,16,Us (2019) ,Jordan Peele
18,17,Cold Pursuit (2019) ,Hans Petter Moland
19,18,Fast & Furious Presents: Hobbs & Shaw (2019) ,David Leitch
20,19,It Chapter Two (2019) ,Andy Muschietti
21,20,Freaks (2018) ,Zach Lipovsky
22,20,Freaks (2018) ,Adam B. Stein
23,21,The Irishman (2019) ,Martin Scorsese
24,22,Black and Blue (2019) ,Deon Taylor
25,23,Captive State (2019) ,Rupert Wyatt
26,24,Once Upon a Time... in Hollywood (2019) ,Quentin Tarantino
27,25,A Beautiful Day in the Neighborhood (2019) ,Marielle Heller
28,26,Rocketman (2019) ,Dexter Fletcher
29,27,Jexi (2019) ,Jon Lucas
30,27,Jexi (2019) ,Scott Moore
31,28,In the Shadow of the Moon (2019) ,Jim Mickle
32,29,3 from Hell (2019) ,Rob Zombie
33,30,Eli (2019) ,Ciarán Foy
34,31,Pokémon Detective Pikachu (2019) ,Rob Letterman
35,32,Aniara (2018) ,Pella Kagerman
36,32,Aniara (2018) ,Hugo Lilja
37,33,Climax (2018) ,Gaspar Noé
38,34,Ad Astra (2019) ,James Gray
39,35,Alita: Battle Angel (2019) ,Robert Rodriguez
40,36,Avengers: Endgame (2019) ,Anthony Russo
41,36,Avengers: Endgame (2019) ,Joe Russo
42,37,Under the Silver Lake (2018) ,David Robert Mitchell
43,38,Knives Out (2019) ,Rian Johnson
44,39,Hustlers (2019) ,Lorene Scafaria
45,40,Ford v Ferrari (2019) ,James Mangold
46,41,Crawl (2019) ,Alexandre Aja
47,42,Doctor Sleep (2019) ,Mike Flanagan
48,43,Brightburn (2019) ,David Yarovesky
49,44,Long Shot (2019) ,Jonathan Levine
50,45,47 Meters Down: Uncaged (2019) ,Johannes Roberts
51,46,Anna (2019) ,Luc Besson
52,47,Hellboy (2019) ,Neil Marshall
53,48,Greta (2018) ,Neil Jordan
54,49,The Beach Bum (2019) ,Harmony Korine
55,50,Countdown (2019) ,Justin Dec
56,51,Avengers: Infinity War (2018) ,Anthony Russo
57,51,Avengers: Infinity War (2018) ,Joe Russo
58,52,Black Panther (2018) ,Ryan Coogler
59,53,Roma (2018) ,Alfonso Cuarón
60,54,They Shall Not Grow Old (2018) ,Peter Jackson
61,55,Spider-Man: Into the Spider-Verse (2018) ,Bob Persichetti
62,55,Spider-Man: Into the Spider-Verse (2018) ,Peter Ramsey
63,55,Spider-Man: Into the Spider-Verse (2018) ,1 more credit
64,56,If Beale Street Could Talk (2018) ,Barry Jenkins
65,57,First Man (2018) ,Damien Chazelle
66,58,Deadpool 2 (2018) ,David Leitch
67,59,Shoplifters (2018) ,Hirokazu Koreeda
68,60,Bohemian Rhapsody (2018) ,Bryan Singer
69,61,Vice (2018) ,Adam McKay
70,62,Green Book (2018) ,Peter Farrelly
71,63,Eighth Grade (2018) ,Bo Burnham
72,64,Minding the Gap (2018) ,Bing Liu
73,65,Isle of Dogs (2018) ,Wes Anderson
74,66,Mission: Impossible - Fallout (2018) ,Christopher McQuarrie
75,67,The Favourite (2018) ,Yorgos Lanthimos
76,68,The Tale (2018) ,Jennifer Fox
77,69,BlacKkKlansman (2018) ,Spike Lee
78,70,Ralph Breaks the Internet (2018) ,Phil Johnston
79,70,Ralph Breaks the Internet (2018) ,Rich Moore
80,71,Cold War (2018) ,Pawel Pawlikowski
81,72,The Death of Stalin (2017) ,Armando Iannucci
82,73,Ready Player One (2018) ,Steven Spielberg
83,74,A Star Is Born (2018) ,Bradley Cooper
84,75,Mirai (2018) ,Mamoru Hosoda
85,76,Sorry to Bother You (2018) ,Boots Riley
86,77,Widows (2018) ,Steve McQueen
87,78,A Quiet Place (2018) ,John Krasinski
88,79,Burning (2018) ,Chang-dong Lee
89,80,Andhadhun (2018) ,Sriram Raghavan
90,81,Shirkers (2018) ,Sandi Tan
91,82,On My Skin: The Last Seven Days of Stefano Cucchi (2018) ,Alessio Cremonini
92,83,Crime + Punishment (2018) ,Stephen T. Maing
93,84,RBG (2018) ,Julie Cohen
94,84,RBG (2018) ,Betsy West
95,85,Western (2017) ,Valeska Grisebach
96,86,The Ballad of Buster Scruggs (2018) ,Ethan Coen
97,86,The Ballad of Buster Scruggs (2018) ,Joel Coen
98,87,Creed II (2018) ,Steven Caple Jr.
99,88,Crazy Rich Asians (2018) ,Jon M. Chu
100,89,First Reformed (2017) ,Paul Schrader
101,90,Can You Ever Forgive Me? (2018) ,Marielle Heller
102,91,The Rider (2017) ,Chloé Zhao
103,92,Aquaman (2018) ,James Wan
104,93,Upgrade (2018) ,Leigh Whannell
105,94,Incredibles 2 (2018) ,Brad Bird
106,95,Happy as Lazzaro (2018) ,Alice Rohrwacher
107,96,Sweet Country (2017) ,Warwick Thornton
108,97,Hereditary (2018) ,Ari Aster
109,98,Annihilation (2018) ,Alex Garland
110,99,The Endless (2017) ,Justin Benson
111,99,The Endless (2017) ,Aaron Moorhead
112,100,Venom (2018) ,Ruben Fleischer
113,101,"Three Billboards Outside Ebbing, Missouri (2017) ",Martin McDonagh
114,102,Get Out (2017) ,Jordan Peele
115,103,The Florida Project (2017) ,Sean Baker
116,104,John Wick: Chapter 2 (2017) ,Chad Stahelski
117,105,Lady Bird (2017) ,Greta Gerwig
118,106,The Shape of Water (2017) ,Guillermo del Toro
119,107,Mother! (2017) ,Darren Aronofsky
120,108,Good Time (2017) ,Benny Safdie
121,108,Good Time (2017) ,Josh Safdie
122,109,Split (2016) ,M. Night Shyamalan
123,110,Logan (2017) ,James Mangold
124,111,Call Me by Your Name (2017) ,Luca Guadagnino
125,112,Brawl in Cell Block 99 (2017) ,S. Craig Zahler
126,113,Star Wars: Episode VIII - The Last Jedi (2017) ,Rian Johnson
127,114,The Disaster Artist (2017) ,James Franco
128,115,Blade Runner 2049 (2017) ,Denis Villeneuve
129,116,War for the Planet of the Apes (2017) ,Matt Reeves
130,117,Thor: Ragnarok (2017) ,Taika Waititi
131,118,Baby Driver (2017) ,Edgar Wright
132,119,Logan Lucky (2017) ,Steven Soderbergh
133,120,Detroit (2017) ,Kathryn Bigelow
134,121,Ingrid Goes West (2017) ,Matt Spicer
135,122,American Made (2017) ,Doug Liman
136,123,Dunkirk (2017) ,Christopher Nolan
137,124,"I, Tonya (2017) ",Craig Gillespie
138,125,Wind River (2017) ,Taylor Sheridan
139,126,Spider-Man: Homecoming (2017) ,Jon Watts
140,127,The Big Sick (2017) ,Michael Showalter
141,128,Jumanji: Welcome to the Jungle (2017) ,Jake Kasdan
142,129,Colossal (2016) ,Nacho Vigalondo
143,130,Wonder (2017) ,Stephen Chbosky
144,131,The Killing of a Sacred Deer (2017) ,Yorgos Lanthimos
145,132,The Meyerowitz Stories (2017) ,Noah Baumbach
146,133,Battle of the Sexes (2017) ,Jonathan Dayton
147,133,Battle of the Sexes (2017) ,Valerie Faris
148,134,War Machine (2017) ,David Michôd
149,135,The Beguiled (2017) ,Sofia Coppola
150,136,It (2017) ,Andy Muschietti
151,137,Brad's Status (2017) ,Mike White
152,138,Stronger (2017) ,David Gordon Green
153,139,Patti Cake$ (2017) ,Geremy Jasper
154,140,Guardians of the Galaxy Vol. 2 (2017) ,James Gunn
155,141,The Lego Batman Movie (2017) ,Chris McKay
156,142,Atomic Blonde (2017) ,David Leitch
157,143,Wakefield (2016) ,Robin Swicord
158,144,Beauty and the Beast (2017) ,Bill Condon
159,145,Brigsby Bear (2017) ,Dave McCary
160,146,Kong: Skull Island (2017) ,Jordan Vogt-Roberts
161,147,Alien: Covenant (2017) ,Ridley Scott
162,148,Goodbye Christopher Robin (2017) ,Simon Curtis
163,149,Victoria & Abdul (2017) ,Stephen Frears
164,150,Suburbicon (2017) ,George Clooney
165,151,Captain Fantastic (2016) ,Matt Ross
166,152,La La Land (2016) ,Damien Chazelle
167,153,Hacksaw Ridge (2016) ,Mel Gibson
168,154,Lion (2016) ,Garth Davis
169,155,Hell or High Water (2016) ,David Mackenzie
170,156,The Witch (2015) ,Robert Eggers
171,157,The Jungle Book (2016) ,Jon Favreau
172,158,Deadpool (2016) ,Tim Miller
173,159,Moonlight (2016) ,Barry Jenkins
174,160,Other People (2016) ,Chris Kelly
175,161,Zootopia (2016) ,Byron Howard
176,161,Zootopia (2016) ,Rich Moore
177,161,Zootopia (2016) ,1 more credit
178,162,Nocturnal Animals (2016) ,Tom Ford
179,163,Train to Busan (2016) ,Sang-ho Yeon
180,164,Don't Breathe (2016) ,Fede Alvarez
181,165,Sing Street (2016) ,John Carney
182,166,Doctor Strange (2016) ,Scott Derrickson
183,167,The Conjuring 2 (2016) ,James Wan
184,168,The Distinguished Citizen (2016) ,Gastón Duprat
185,168,The Distinguished Citizen (2016) ,Mariano Cohn
186,169,Your Name. (2016) ,Makoto Shinkai
187,170,Miss Peregrine's Home for Peculiar Children (2016) ,Tim Burton
188,171,Eddie the Eagle (2015) ,Dexter Fletcher
189,172,Elle (2016) ,Paul Verhoeven
190,173,Julieta (2016) ,Pedro Almodóvar
191,174,Manchester by the Sea (2016) ,Kenneth Lonergan
192,175,10 Cloverfield Lane (2016) ,Dan Trachtenberg
193,176,Hidden Figures (2016) ,Theodore Melfi
194,177,Florence Foster Jenkins (2016) ,Stephen Frears
195,178,The Invisible Guest (2016) ,Oriol Paulo
196,179,Deepwater Horizon (2016) ,Peter Berg
197,180,The Edge of Seventeen (2016) ,Kelly Fremon Craig
198,181,The Magnificent Seven (2016) ,Antoine Fuqua
199,182,The Shallows (2016) ,Jaume Collet-Serra
200,183,X-Men: Apocalypse (2016) ,Bryan Singer
201,184,Hush (2016) ,Mike Flanagan
202,185,Captain America: Civil War (2016) ,Anthony Russo
203,185,Captain America: Civil War (2016) ,Joe Russo
204,186,¿Qué culpa tiene el niño? (2016) ,Gustavo Loza
205,187,War Dogs (2016) ,Todd Phillips
206,188,A Monster Calls (2016) ,J.A. Bayona
207,189,"I, Daniel Blake (2016) ",Ken Loach
208,189,"I, Daniel Blake (2016) ",Laura Obiols
209,190,Lights Out (2016) ,David F. Sandberg
210,191,The Innocents (2016) ,Anne Fontaine
211,192,Rogue One: A Star Wars Story (2016) ,Gareth Edwards
212,193,13 Hours (2016) ,Michael Bay
213,194,Fantastic Beasts and Where to Find Them (2016) ,David Yates
214,195,The Boy (2016) ,William Brent Bell
215,196,The Nice Guys (2016) ,Shane Black
216,197,Kubo and the Two Strings (2016) ,Travis Knight
217,198,Little Men (2016) ,Ira Sachs
218,199,American Honey (2016) ,Andrea Arnold
219,200,The Founder (2016) ,John Lee Hancock
220,201,Brooklyn (2015) ,John Crowley
221,202,The Big Short (2015) ,Adam McKay
222,203,Mad Max: Fury Road (2015) ,George Miller
223,204,Sicario (2015) ,Denis Villeneuve
224,205,When Marnie Was There (2014) ,James Simone
225,205,When Marnie Was There (2014) ,Hiromasa Yonebayashi
226,206,The Martian (2015) ,Ridley Scott
227,207,The Revenant (2015) ,Alejandro G. Iñárritu
228,208,Anomalisa (2015) ,Duke Johnson
229,208,Anomalisa (2015) ,Charlie Kaufman
230,209,Spotlight (2015) ,Tom McCarthy
231,210,Room (2015) ,Lenny Abrahamson
232,211,Inside Out (2015) ,Pete Docter
233,211,Inside Out (2015) ,Ronnie Del Carmen
234,212,Cartel Land (2015) ,Matthew Heineman
235,213,Mission: Impossible - Rogue Nation (2015) ,Christopher McQuarrie
236,214,Creed (2015) ,Ryan Coogler
237,215,Beasts of No Nation (2015) ,Cary Joji Fukunaga
238,216,The Hateful Eight (2015) ,Quentin Tarantino
239,217,Mustang (2015) ,Deniz Gamze Ergüven
240,218,The Falling (2014) ,Carol Morley
241,219,The Final Girls (2015) ,Todd Strauss-Schulson
242,220,Mississippi Grind (2015) ,Anna Boden
243,220,Mississippi Grind (2015) ,Ryan Fleck
244,221,Steve Jobs (2015) ,Danny Boyle
245,222,Carol (2015) ,Todd Haynes
246,223,99 Homes (2014) ,Ramin Bahrani
247,224,Man Up (2015) ,Ben Palmer
248,225,Victoria (2015) ,Sebastian Schipper
249,226,Southpaw (2015) ,Antoine Fuqua
250,227,Kingsman: The Secret Service (2014) ,Matthew Vaughn
251,228,Straight Outta Compton (2015) ,F. Gary Gray
252,229,The Stanford Prison Experiment (2015) ,Kyle Patrick Alvarez
253,230,Mistress America (2015) ,Noah Baumbach
254,231,Goodnight Mommy (2014) ,Severin Fiala
255,231,Goodnight Mommy (2014) ,Veronika Franz
256,232,Sleeping with Other People (2015) ,Leslye Headland
257,233,The Assassin (2015) ,Hsiao-Hsien Hou
258,234,Star Wars: Episode VII - The Force Awakens (2015) ,J.J. Abrams
259,235,Ex Machina (2014) ,Alex Garland
260,236,De Palma (2015) ,Noah Baumbach
261,236,De Palma (2015) ,Jake Paltrow
262,237,Avengers: Age of Ultron (2015) ,Joss Whedon
263,238,Shaun the Sheep Movie (2015) ,Mark Burton
264,238,Shaun the Sheep Movie (2015) ,Richard Starzak
265,239,Cop Car (2015) ,Jon Watts
266,240,Black Mass (2015) ,Scott Cooper
267,241,Tangerine (2015) ,Sean Baker
268,242,Clouds of Sils Maria (2014) ,Olivier Assayas
269,243,Grandma (2015) ,Paul Weitz
270,244,Cinderella (2015) ,Kenneth Branagh
271,245,The Lobster (2015) ,Yorgos Lanthimos
272,246,What We Do in the Shadows (2014) ,Jemaine Clement
273,246,What We Do in the Shadows (2014) ,Taika Waititi
274,247,Paddington (2014) ,Paul King
275,248,Bone Tomahawk (2015) ,S. Craig Zahler
276,249,The Man from U.N.C.L.E. (2015) ,Guy Ritchie
277,250,Take Me to the River (2015) ,Matt Sobel
278,251,The Duff (2015) ,Ari Sandel
