,PID,PID_Movie,MovieName,Director
0,1,1,Joker (2019) ,Todd Phillips
1,2,2,Jojo Rabbit (2019) ,Taika Waititi
,PID,PID_Movie,MovieName,Director
0,1,1,Joker (2019) ,Todd Phillips
1,2,2,Jojo Rabbit (2019) ,Taika Waititi
2,3,2,Brooklyn (2015) ,John Crowley
3,4,3,The Big Short (2015) ,Adam McKay
4,5,3,Brooklyn (2015) ,John Crowley
5,6,4,The Big Short (2015) ,Adam McKay
6,7,5,Mad Max: Fury Road (2015) ,George Miller
7,8,5,Brooklyn (2015) ,John Crowley
8,9,5,Brooklyn (2015) ,John Crowley
9,10,2,Brooklyn (2015) ,John Crowley
10,11,3,The Big Short (2015) ,Adam McKay
11,12,4,Mad Max: Fury Road (2015) ,George Miller
12,13,5,Sicario (2015) ,Denis Villeneuve
13,14,5,Brooklyn (2015) ,John Crowley
14,15,5,Brooklyn (2015) ,John Crowley
15,16,6,The Big Short (2015) ,Adam McKay
16,17,7,Mad Max: Fury Road (2015) ,George Miller
17,18,8,Sicario (2015) ,Denis Villeneuve
18,19,9,When Marnie Was There (2014) ,James Simone
19,20,9,When Marnie Was There (2014) ,Hiromasa Yonebayashi
20,21,10,The Martian (2015) ,Ridley Scott
21,22,11,The Revenant (2015) ,Alejandro G. Iñárritu
22,23,12,Anomalisa (2015) ,Duke Johnson
23,24,12,Anomalisa (2015) ,Charlie Kaufman
24,25,1,Brooklyn (2015) ,John Crowley
25,26,1,Brooklyn (2015) ,John Crowley
26,27,2,The Big Short (2015) ,Adam McKay
27,28,3,Mad Max: Fury Road (2015) ,George Miller
28,29,4,Sicario (2015) ,Denis Villeneuve
29,30,5,When Marnie Was There (2014) ,James Simone
30,31,5,When Marnie Was There (2014) ,Hiromasa Yonebayashi
31,32,5,Brooklyn (2015) ,John Crowley
32,33,6,The Big Short (2015) ,Adam McKay
33,34,7,Mad Max: Fury Road (2015) ,George Miller
34,35,8,Sicario (2015) ,Denis Villeneuve
35,36,9,When Marnie Was There (2014) ,James Simone
36,37,9,When Marnie Was There (2014) ,Hiromasa Yonebayashi
37,38,10,The Martian (2015) ,Ridley Scott
38,39,11,The Revenant (2015) ,Alejandro G. Iñárritu
39,40,12,Anomalisa (2015) ,Duke Johnson
40,41,12,Anomalisa (2015) ,Charlie Kaufman
41,42,13,Spotlight (2015) ,Tom McCarthy
42,43,14,Room (2015) ,Lenny Abrahamson
43,44,15,Inside Out (2015) ,Pete Docter
44,45,15,Inside Out (2015) ,Ronnie Del Carmen
45,46,16,Cartel Land (2015) ,Matthew Heineman
46,47,17,Mission: Impossible - Rogue Nation (2015) ,Christopher McQuarrie
47,48,18,Creed (2015) ,Ryan Coogler
48,49,19,Beasts of No Nation (2015) ,Cary Joji Fukunaga
49,50,20,The Hateful Eight (2015) ,Quentin Tarantino
50,51,21,Mustang (2015) ,Deniz Gamze Ergüven
51,52,22,The Falling (2014) ,Carol Morley
52,53,23,The Final Girls (2015) ,Todd Strauss-Schulson
53,54,1,Brooklyn (2015) ,John Crowley
54,55,2,The Big Short (2015) ,Adam McKay
55,56,3,Mad Max: Fury Road (2015) ,George Miller
56,57,1,Brooklyn (2015) ,John Crowley
57,58,2,The Big Short (2015) ,Adam McKay
58,59,3,Mad Max: Fury Road (2015) ,George Miller
59,60,4,Sicario (2015) ,Denis Villeneuve
,PID,PID_Movie,MovieName,Director
0,1,1,Brooklyn (2015) ,John Crowley
1,2,2,The Big Short (2015) ,Adam McKay
2,3,3,Mad Max: Fury Road (2015) ,George Miller
3,4,4,Sicario (2015) ,Denis Villeneuve
,PID,PID_Movie,MovieName,Director
0,1,1,Brooklyn (2015) ,John Crowley
1,2,2,The Big Short (2015) ,Adam McKay
2,3,3,Mad Max: Fury Road (2015) ,George Miller
3,4,4,Sicario (2015) ,Denis Villeneuve
4,5,1,Brooklyn (2015) ,John Crowley
5,6,2,The Big Short (2015) ,Adam McKay
6,7,3,Mad Max: Fury Road (2015) ,George Miller
7,8,4,Sicario (2015) ,Denis Villeneuve
8,9,5,When Marnie Was There (2014) ,James Simone
9,10,5,When Marnie Was There (2014) ,Hiromasa Yonebayashi
10,11,6,The Martian (2015) ,Ridley Scott
11,12,7,The Revenant (2015) ,Alejandro G. Iñárritu
12,13,1,Brooklyn (2015) ,John Crowley
13,14,2,The Big Short (2015) ,Adam McKay
14,15,3,Mad Max: Fury Road (2015) ,George Miller
15,16,4,Sicario (2015) ,Denis Villeneuve
,PID,PID_Movie,MovieName,Director
0,1,1,Brooklyn (2015) ,John Crowley
1,2,2,The Big Short (2015) ,Adam McKay
2,3,3,Mad Max: Fury Road (2015) ,George Miller
3,4,4,Sicario (2015) ,Denis Villeneuve
4,5,1,Brooklyn (2015) ,John Crowley
5,6,2,The Big Short (2015) ,Adam McKay
6,7,3,Mad Max: Fury Road (2015) ,George Miller
7,8,4,Sicario (2015) ,Denis Villeneuve
8,9,5,When Marnie Was There (2014) ,James Simone
9,10,5,When Marnie Was There (2014) ,Hiromasa Yonebayashi
10,11,6,The Martian (2015) ,Ridley Scott
11,12,7,The Revenant (2015) ,Alejandro G. Iñárritu
12,13,1,Brooklyn (2015) ,John Crowley
13,14,2,The Big Short (2015) ,Adam McKay
14,15,3,Mad Max: Fury Road (2015) ,George Miller
15,16,4,Sicario (2015) ,Denis Villeneuve
16,17,1,Brooklyn (2015) ,John Crowley
17,18,2,The Big Short (2015) ,Adam McKay
18,19,3,Mad Max: Fury Road (2015) ,George Miller
19,20,4,Sicario (2015) ,Denis Villeneuve
,
0,John Crowley
1,Adam McKay
2,George Miller
3,Denis Villeneuve
4,John Crowley
5,Adam McKay
6,George Miller
7,Denis Villeneuve
8,James Simone
9,Hiromasa Yonebayashi
10,Ridley Scott
11,Alejandro G. Iñárritu
12,John Crowley
13,Adam McKay
14,George Miller
15,Denis Villeneuve
16,John Crowley
17,Adam McKay
18,George Miller
19,Denis Villeneuve
20,John Crowley
21,Adam McKay
22,George Miller
23,Denis Villeneuve
